,Unnamed: 0,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ConvertedCompYearly
1325,22088,22089,I am a developer by profession,Employed full-time,Iraq,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Courses or Certification,3,3,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,USD	United States dollar,1400.0,Monthly,HTML/CSS;JavaScript;PHP,TypeScript,MariaDB;MySQL;Redis,Elasticsearch;PostgreSQL,AWS;DigitalOcean;Heroku,,Laravel;Vue.js,,,,Git;Yarn,,PHPStorm;Visual Studio Code,,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,18-24 years old,Woman,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,16800.0
1326,22093,22094,"I used to be a developer by profession, but no longer am","Student, full-time",South Korea,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",5,,,,,,,C;C#;C++;Matlab;Python;SQL,C#;C++;Python,Microsoft SQL Server;MySQL,,Google Cloud Platform,,,,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Unity 3D,Unity 3D,Android Studio;IPython/Jupyter;Visual Studio,IPython/Jupyter;Visual Studio,Windows,Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,25-34 years old,Woman,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,
1327,22101,22102,I am a developer by profession,Employed full-time,China,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",13,2,"Developer, embedded applications or devices","10,000 or more employees",CNY	Chinese Yuan Renminbi,250000.0,Yearly,Bash/Shell;C;C++,C;Rust,,,,,,,,,Git,Git,Visual Studio Code,Visual Studio Code,Linux-based,Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Yes,18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Gay or Lesbian,East Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",35723.0
1328,22104,22105,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",New Zealand,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Friend or family member;Online Courses or Certification;Colleague;Books / Physical media,8,6,Data scientist or machine learning specialist;Scientist;Product manager,10 to 19 employees,NZD	New Zealand dollar,,,Bash/Shell;Python;SQL,Bash/Shell;C;Matlab;Python;SQL,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,,,,,.NET Framework;Hadoop;Keras;NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,Git,Git,IPython/Jupyter;PyCharm,PyCharm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Woman,No,Prefer not to say,White or of European descent,None of the above,None of the above,
1330,22111,22112,I am a student who is learning to code,"Not employed, but looking for work",Argentina,,,Some college/university study without earning a degree,11 - 17 years,Online Forum;Friend or family member,,,,,,,,C++;Java,C++;Clojure;Java;Kotlin,,,,,,,,,Git,Git,Android Studio;IntelliJ,Android Studio;IntelliJ,Linux-based,Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",Yes,18-24 years old,Woman,Yes,Bisexual,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",
1333,22149,22150,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Singapore,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",10,1,"Developer, front-end;Academic researcher",2 to 9 employees,SGD	Singapore dollar,,Monthly,Bash/Shell;JavaScript;Python;TypeScript,Julia;Python;Swift;TypeScript,MySQL,,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Angular;React.js,Angular;React.js,Keras;NumPy;TensorFlow;Torch/PyTorch,Keras;NumPy;TensorFlow;Torch/PyTorch,Git,Git,IntelliJ;PyCharm;Sublime Text;Vim;Visual Studio Code;Webstorm,IntelliJ;PyCharm;Webstorm,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Woman,No,Straight / Heterosexual,South Asian,None of the above,None of the above,
1334,22162,22163,I am a developer by profession,Employed full-time,Turkey,,,Something else,35 - 44 years,Online Forum,1,21,Other (please specify):,100 to 499 employees,USD	United States dollar,10.0,Yearly,APL;Dart;JavaScript;PowerShell;Swift;TypeScript,,Cassandra;SQLite,,AWS;Google Cloud Platform,,Angular;Angular.js,,.NET Framework,.NET Core / .NET 5,Ansible,,Android Studio;PyCharm;TextMate;Vim,Atom;Xcode,Windows,Google it;Meditate;Panic;Visit another developer community (please name):,Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"No, not at all",Yes,35-44 years old,Woman,Yes,Straight / Heterosexual,White or of European descent;South Asian,I am unable to / find it difficult to type,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",10.0
1335,22168,22169,I am a student who is learning to code,"Not employed, but looking for work",Canada,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",4,,,,,,,Java;JavaScript;PHP;Python;SQL,,MySQL;SQLite,MySQL,AWS;Google Cloud Platform,,Laravel,Laravel,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,Docker;Git,Git,Android Studio;IntelliJ;IPython/Jupyter;PHPStorm;PyCharm;Vim,IntelliJ;IPython/Jupyter;PHPStorm;PyCharm,Windows,Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Woman,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,
1336,22182,22183,I code primarily as a hobby,I prefer not to say,Canada,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",6,,,,,,,C#;Java,C#,,,,,,,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Unity 3D,Unity 3D;Unreal Engine,Notepad++;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code;Xcode,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"No, not really",No,Under 18 years old,Woman,Yes,Prefer to self-describe:,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),
1337,22190,22191,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media",4,1,"Developer, mobile;Developer, front-end;Designer",2 to 9 employees,IDR	Indonesian rupiah,2500000.0,Monthly,Dart;HTML/CSS;JavaScript;Kotlin,Dart;HTML/CSS;Java;JavaScript;Kotlin,,,,,React.js,Angular;Angular.js;ASP.NET;ASP.NET Core ;Laravel;React.js,Flutter;React Native,Flutter;React Native,Git,Git,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Woman,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,2196.0
1340,22240,22241,I code primarily as a hobby,"Student, full-time",United States of America,Arizona,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",05 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Books / Physical media",11,,,,,,,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript,C++;HTML/CSS;JavaScript;Kotlin;Node.js;Python;Rust;TypeScript,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,,,Flask;jQuery;React.js,,Qt,,Git,Git,Android Studio;IntelliJ;Vim;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Play games;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all",Yes,Under 18 years old,Woman,Yes,Bisexual,White or of European descent;Multiracial;South Asian,None of the above,None of the above,
1341,22247,22248,I am a developer by profession,Employed part-time,Israel,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,Online Forum;Friend or family member;Other (please specify):;Books / Physical media,11,11,"Developer, desktop or enterprise applications;Other (please specify):",500 to 999 employees,ILS	Israeli new shekel,35000.0,Monthly,C++;PowerShell;Python,,SQLite,,,,,,,,Docker;Git,,Visual Studio;Visual Studio Code,,Windows,Call a coworker or friend;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not at all",,25-34 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,White or of European descent;Middle Eastern;Black or of African descent,I am blind / have difficulty seeing;I am unable to / find it difficult to type;I am unable to / find it difficult to walk or stand without assistance,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's)",122580.0
1343,22263,22264,I am a developer by profession,Employed full-time,Malaysia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",6,2,"Developer, full-stack",10 to 19 employees,MYR	Malaysian ringgit,4000.0,Monthly,C#;Dart;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,,,Angular;ASP.NET;ASP.NET Core ;jQuery;React.js,ASP.NET;ASP.NET Core ;React.js,.NET Framework;.NET Core / .NET 5;Cordova;Flutter;React Native;TensorFlow,.NET Framework;.NET Core / .NET 5;React Native,Git;Yarn,Git;Yarn,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),11532.0
1344,22271,22272,I am a developer by profession,Employed full-time,United States of America,Michigan,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum;Online Courses or Certification;Colleague;Books / Physical media,10,3,"Developer, full-stack",,USD	United States dollar,,,Assembly;Bash/Shell;C;Java;JavaScript;Node.js;Python;SQL;TypeScript,Go;Rust,MySQL,,AWS;Heroku,Google Cloud Platform,Django;Flask,FastAPI,NumPy;Pandas,,Docker;Git;Yarn,,Atom;IntelliJ;IPython/Jupyter;PyCharm;TextMate;Vim;Visual Studio;Visual Studio Code,,MacOS,Visit Stack Overflow,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,,Woman,No,,,,,
1345,22273,22274,I am a developer by profession,Employed full-time,Canada,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",14,10,"Developer, full-stack",20 to 99 employees,CAD	Canadian dollar,,Monthly,C#;HTML/CSS;JavaScript;TypeScript,Dart;F#,Microsoft SQL Server;MySQL;SQLite,MongoDB;PostgreSQL;Redis,Microsoft Azure,DigitalOcean;Heroku,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js,Svelte;Vue.js,.NET Framework;.NET Core / .NET 5,Flutter;React Native,Docker;Git,Kubernetes;Xamarin,Notepad++;RStudio;Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,35-44 years old,Woman,No,Prefer not to say,Middle Eastern,None of the above,None of the above,
1346,22281,22282,I am a student who is learning to code,"Student, full-time",United States of America,Washington,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,School;Online Forum,2,,,,,,,Assembly;Bash/Shell;C;Erlang;Java;Kotlin;Python;SQL,JavaScript;Kotlin;Python;Ruby;SQL,SQLite,Couchbase;MongoDB;MySQL;PostgreSQL;SQLite,,,Django,Django;React.js,,,Git,Docker;Git;Kubernetes,Eclipse;Emacs;IntelliJ;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,"Woman;Non-binary, genderqueer, or gender non-conforming",Yes,Prefer to self-describe:,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",
1347,22293,22294,I am a developer by profession,Employed full-time,Australia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",5,2,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;Developer, game or graphics;Data or business analyst;System administrator",500 to 999 employees,AUD	Australian dollar,60000.0,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Python;VBA,C#;HTML/CSS;JavaScript;PowerShell;Python,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,Django;jQuery,ASP.NET;ASP.NET Core ;jQuery,.NET Framework;.NET Core / .NET 5;NumPy;Pandas,.NET Framework;.NET Core / .NET 5;NumPy;Pandas,Git;Unity 3D,Git;Unity 3D,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,"Or, in your own words:","Or, in your own words:",Straight / Heterosexual,White or of European descent,None of the above,None of the above,40086.0
1348,22315,22316,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Georgia,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",8,5,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Scientist",2 to 9 employees,GEL	Georgian lari,1000.0,Weekly,C#;HTML/CSS;JavaScript;Matlab;PHP;Python;SQL,C#;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server;Oracle,Microsoft SQL Server;Oracle,Google Cloud Platform;Oracle Cloud Infrastructure,Google Cloud Platform;Oracle Cloud Infrastructure,ASP.NET;jQuery,Angular.js;ASP.NET;ASP.NET Core ;Drupal;jQuery;React.js;Ruby on Rails,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git;Unity 3D,Git;Unity 3D,Atom;IPython/Jupyter;Notepad++;Visual Studio;Visual Studio Code,Atom;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Woman,No,,Prefer not to say,None of the above,None of the above,17650.0
1353,22452,22453,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,Germany,,,Some college/university study without earning a degree,05 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",19,2,System administrator,2 to 9 employees,EUR European Euro,,,Bash/Shell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust,Bash/Shell;C;C#;HTML/CSS;Python;Rust;Swift,Firebase,,,,Flask,Flask,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Notepad++;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code;Xcode,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,"Non-binary, genderqueer, or gender non-conforming;Or, in your own words:","Or, in your own words:",Prefer to self-describe:;Queer,White or of European descent,None of the above,I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's),
1354,22473,22474,I am a developer by profession,Employed full-time,Canada,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,School;Books / Physical media,30,23,"Developer, back-end",500 to 999 employees,CAD	Canadian dollar,230000.0,Yearly,Bash/Shell;Go;Perl,Perl,MySQL;PostgreSQL,PostgreSQL,AWS,,,,,,Ansible;Chef;Docker;Git;Terraform,Ansible;Chef;Git,Vim,Vim,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",Yes,45-54 years old,Woman,No,Prefer not to say,Prefer not to say,None of the above,None of the above,173952.0
1355,22479,22480,I am a developer by profession,Employed full-time,Sri Lanka,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Courses or Certification,6,2,"Developer, full-stack",2 to 9 employees,LKR	Sri Lankan rupee,30000.0,Monthly,C#;HTML/CSS;Java;JavaScript;Python;SQL,C#;HTML/CSS;Java;JavaScript;SQL,Firebase;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server,,,ASP.NET;Django;jQuery,ASP.NET;jQuery,.NET Framework,.NET Framework,Git,,Android Studio;Eclipse;NetBeans;Notepad++;PyCharm;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Woman,No,Straight / Heterosexual,Southeast Asian,,None of the above,1980.0
1356,22515,22516,I am a student who is learning to code,"Student, full-time",Austria,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",Less than 1 year,,,,,,,HTML/CSS;JavaScript;Python;SQL,Java,MariaDB;MySQL,,Heroku,,React.js,jQuery;Vue.js,,,,,Notepad++;PyCharm,,Windows,Visit Stack Overflow;Google it;Panic,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,East Asian,None of the above,None of the above,
1358,22547,22548,I am a developer by profession,Employed part-time,Russian Federation,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",7,Less than 1 year,"Developer, desktop or enterprise applications;Developer, back-end",20 to 99 employees,RUB	Russian ruble,39000.0,Monthly,C++,C#;C++;Go,,,,,,,Qt,,Git,Git,Notepad++;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Not sure,No,18-24 years old,"Or, in your own words:",No,Straight / Heterosexual;Bisexual,East Asian,None of the above,None of the above,7356.0
1359,22600,22601,I am a developer by profession,Employed full-time,Bulgaria,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague",6,5,"Developer, full-stack",20 to 99 employees,EUR European Euro,,Monthly,HTML/CSS;JavaScript;PHP;SQL,Python,MariaDB;MongoDB;MySQL,,DigitalOcean;Heroku,,jQuery;Laravel;Symfony;Vue.js,,,,Git,Xamarin,Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Yes,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,
1360,22608,22609,I am a developer by profession,Employed full-time,United Arab Emirates,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,School,7,,"Developer, front-end;Developer, back-end",100 to 499 employees,AED United Arab Emirates dirham,,,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,Firebase;MySQL;PostgreSQL,Firebase;MySQL;PostgreSQL,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Django;Express;React.js,Django;Express;React.js,React Native,React Native,Git,Git,,,MacOS,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Woman,No,Straight / Heterosexual,South Asian,,None of the above,
1362,22647,22648,I am a developer by profession,Employed full-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,7,4,"Developer, front-end",20 to 99 employees,INR	Indian rupee,,,Objective-C;Swift,Swift,SQLite,Firebase;SQLite,,,,,,,Git,,Xcode,Xcode,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Woman,,,,,,
1363,22674,22675,I code primarily as a hobby,"Student, full-time",India,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",,,,,,,,Bash/Shell;HTML/CSS;JavaScript;PHP;VBA,Assembly;C;C++;HTML/CSS;JavaScript;Node.js;Objective-C;Python;TypeScript,MySQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Google Cloud Platform,AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,jQuery,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;FastAPI;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Svelte;Symfony;Vue.js,Cordova;Flutter,.NET Framework;.NET Core / .NET 5;Apache Spark;Cordova;Flutter;Hadoop;Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Git,Ansible;Chef;Deno;Docker;Flow;Git;Kubernetes;Pulumi;Puppet;Terraform;Unity 3D;Unreal Engine;Xamarin;Yarn,Notepad++;Visual Studio Code,Vim;Xcode,Windows,Google it;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,"Or, in your own words:",No,Prefer to self-describe:,Prefer not to say,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",
1364,22683,22684,"I used to be a developer by profession, but no longer am",Employed full-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",10,10,Designer;Product manager,,,,,,,,,,,Angular;Angular.js;Drupal;jQuery;React.js,,,,,,,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Woman,No,,Middle Eastern;East Asian,None of the above,None of the above,
1365,22694,22695,I am a developer by profession,Employed full-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Online Forum;Online Courses or Certification;Books / Physical media,9,5,"Developer, mobile",100 to 499 employees,INR	Indian rupee,,Monthly,C;HTML/CSS;Java;JavaScript;TypeScript,JavaScript;Kotlin;TypeScript,Firebase;SQLite,Firebase,,,Angular;Angular.js;React.js,React.js;Vue.js,React Native,Flutter;React Native,Git,Git;Yarn,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,Visual Studio Code;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Woman,No,Straight / Heterosexual,South Asian;East Asian,None of the above,None of the above,
1366,22703,22704,I am a developer by profession,Employed full-time,United States of America,North Carolina,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",22,19,"Developer, mobile;Engineering manager",10 to 19 employees,USD	United States dollar,175000.0,Yearly,TypeScript,TypeScript,,,,,,,React Native,React Native,,,Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,175000.0
